condition,symptom,probability
Corneal disorder,itchiness_of_eye,21.0
Corneal disorder,lacrimation,24.0
Corneal disorder,pain_in_eye,62.0
Corneal disorder,spots_or_clouds_in_vision,32.0
Corneal disorder,swollen_eye,10.0
Corneal disorder,symptoms_of_eye,30.0
Corneal disorder,white_discharge_from_eye,10.0
Coronary atherosclerosis,burning_chest_pain,2.0
Coronary atherosclerosis,chest_tightness,18.0
Coronary atherosclerosis,fatigue,20.0
Coronary atherosclerosis,irregular_heartbeat,5.0
Coronary atherosclerosis,leg_cramps_or_spasms,3.0
Coronary atherosclerosis,lymphedema,5.0
Coronary atherosclerosis,palpitations,12.0
Coronary atherosclerosis,sharp_chest_pain,55.0
Coronary atherosclerosis,shortness_of_breath,41.0
Cranial nerve palsy,abnormal_involuntary_movements,29.0
Cranial nerve palsy,abnormal_movement_of_eyelid,22.0
Cranial nerve palsy,cramps_and_spasms,10.0
Cranial nerve palsy,difficulty_speaking,10.0
Cranial nerve palsy,diminished_vision,35.0
Cranial nerve palsy,double_vision,53.0
Cranial nerve palsy,facial_pain,19.0
Cranial nerve palsy,headache,40.0
Cranial nerve palsy,loss_of_sensation,22.0
Cranial nerve palsy,pain_in_eye,19.0
Cranial nerve palsy,pupils_unequal,19.0
Cranial nerve palsy,symptoms_of_the_face,26.0
Crohn disease,blood_in_stool,17.0
Crohn disease,burning_abdominal_pain,20.0
Crohn disease,diarrhea,42.0
Crohn disease,heartburn,6.0
Crohn disease,joint_pain,6.0
Crohn disease,nausea,33.0
Crohn disease,pain_of_the_anus,6.0
Crohn disease,rectal_bleeding,15.0
Crohn disease,regurgitation,4.0
Crohn disease,sharp_abdominal_pain,74.0
Crohn disease,stomach_bloating,6.0
Crohn disease,vomiting,38.0
Croup,abnormal_breathing_sounds,10.0
Croup,coryza,24.0
Croup,cough,94.0
Croup,difficulty_breathing,66.0
Croup,fever,77.0
Croup,hoarse_voice,12.0
Croup,nasal_congestion,66.0
Croup,pulling_at_ears,9.0
Croup,shortness_of_breath,37.0
Croup,sore_throat,26.0
Croup,vomiting,32.0
Croup,wheezing,50.0
Crushing injury,ankle_swelling,8.0
Crushing injury,foot_or_toe_pain,30.0
Crushing injury,hand_or_finger_pain,62.0
Crushing injury,hand_or_finger_stiffness_or_tightness,12.0
Crushing injury,hand_or_finger_swelling,22.0
Crushing injury,knee_swelling,8.0
Crushing injury,loss_of_sensation,22.0
Crushing injury,lymphedema,4.0
Crushing injury,neck_swelling,4.0
Cryptococcosis,cross_eyed,7.0
Cryptococcosis,depressive_or_psychotic_symptoms,63.0
Cryptococcosis,eye_strain,7.0
Cryptococcosis,fainting,63.0
Cryptococcosis,hip_stiffness_or_tightness,7.0
Cryptococcosis,itchy_eyelid,7.0
Cryptococcosis,lip_swelling,63.0
Cryptococcosis,nailbiting,7.0
Cryptococcosis,seizures,63.0
Cryptococcosis,shoulder_swelling,7.0
Cryptococcosis,vulvar_sore,7.0
Cryptococcosis,wrist_weakness,7.0
Cryptorchidism,flatulence,9.0
Cryptorchidism,irritable_infant,9.0
Cryptorchidism,jaundice,9.0
Cryptorchidism,lack_of_growth,9.0
Cryptorchidism,mass_in_scrotum,9.0
Cryptorchidism,pain_in_testicles,9.0
Cryptorchidism,pus_draining_from_ear,9.0
Cryptorchidism,swelling_of_scrotum,16.0
Cryptorchidism,symptoms_of_the_scrotum_and_testes,50.0
Cryptorchidism,white_discharge_from_eye,9.0
Cushing syndrome,bladder_mass,2.0
Cushing syndrome,decreased_heart_rate,34.0
Cushing syndrome,elbow_cramps_or_spasms,2.0
Cushing syndrome,elbow_weakness,2.0
Cushing syndrome,emotional_symptoms,2.0
Cushing syndrome,infrequent_menstruation,2.0
Cushing syndrome,itching_of_scrotum,2.0
Cushing syndrome,low_back_weakness,2.0
Cushing syndrome,muscle_swelling,2.0
Cushing syndrome,nailbiting,2.0
Cushing syndrome,shoulder_pain,34.0
Cushing syndrome,weight_gain,34.0
Cyst of the eyelid,abnormal_movement_of_eyelid,31.0
Cyst of the eyelid,diminished_vision,48.0
Cyst of the eyelid,elbow_cramps_or_spasms,2.0
Cyst of the eyelid,eyelid_lesion_or_rash,48.0
Cyst of the eyelid,itchiness_of_eye,31.0
Cyst of the eyelid,mass_on_eyelid,73.0
Cyst of the eyelid,muscle_swelling,2.0
Cyst of the eyelid,pain_in_eye,48.0
Cyst of the eyelid,skin_growth,67.0
Cyst of the eyelid,skin_rash,31.0
Cyst of the eyelid,symptoms_of_eye,48.0
Cyst of the eyelid,wrinkles_on_skin,31.0
Cystic Fibrosis,bleeding_gums,4.0
Cystic Fibrosis,cough,48.0
Cystic Fibrosis,decreased_appetite,11.0
Cystic Fibrosis,drainage_in_throat,4.0
Cystic Fibrosis,feeling_ill,28.0
Cystic Fibrosis,hemoptysis,4.0
Cystic Fibrosis,intermenstrual_bleeding,4.0
Cystic Fibrosis,muscle_pain,4.0
Cystic Fibrosis,sinus_congestion,4.0
Cystic Fibrosis,spots_or_clouds_in_vision,4.0
Cysticercosis,abnormal_involuntary_movements,43.0
Cysticercosis,elbow_cramps_or_spasms,3.0
Cysticercosis,elbow_weakness,3.0
Cysticercosis,excessive_growth,3.0
Cysticercosis,feeling_hot_and_cold,3.0
Cysticercosis,headache,87.0
Cysticercosis,low_back_weakness,3.0
Cysticercosis,seizures,90.0
Cysticercosis,shortness_of_breath,43.0
Cysticercosis,underweight,3.0
Cysticercosis,vomiting,43.0
Cysticercosis,wrist_weakness,3.0
Cystitis,back_pain,31.0
Cystitis,blood_in_urine,57.0
Cystitis,frequent_urination,62.0
Cystitis,involuntary_urination,18.0
Cystitis,lower_abdominal_pain,25.0
Cystitis,painful_urination,72.0
Cystitis,pelvic_pain,22.0
Cystitis,retention_of_urine,28.0
Cystitis,sharp_abdominal_pain,49.0
Cystitis,side_pain,27.0
Cystitis,suprapubic_pain,64.0
Cystitis,symptoms_of_bladder,17.0
Cytomegalovirus infection,ankle_pain,91.0
Cytomegalovirus infection,excessive_anger,91.0
Cytomegalovirus infection,excessive_urination_at_night,91.0
Cytomegalovirus infection,facial_pain,91.0
Cytomegalovirus infection,fatigue,91.0
Cytomegalovirus infection,joint_stiffness_or_tightness,91.0
Cytomegalovirus infection,knee_lump_or_mass,91.0
Cytomegalovirus infection,pain_during_pregnancy,91.0
Cytomegalovirus infection,pain_in_eye,91.0
Cytomegalovirus infection,pain_or_soreness_of_breast,91.0
Cytomegalovirus infection,shoulder_cramps_or_spasms,91.0
Cytomegalovirus infection,wrist_pain,91.0
De Quervain disease,abnormal_involuntary_movements,13.0
De Quervain disease,arm_pain,31.0
De Quervain disease,hand_or_finger_pain,73.0
De Quervain disease,hand_or_finger_swelling,23.0
De Quervain disease,lower_body_pain,13.0
De Quervain disease,peripheral_edema,13.0
De Quervain disease,shoulder_pain,43.0
De Quervain disease,wrist_pain,88.0
De Quervain disease,wrist_stiffness_or_tightness,13.0
De Quervain disease,wrist_swelling,37.0
Decubitus ulcer,difficulty_speaking,11.0
Decubitus ulcer,disturbance_of_smell_or_taste,1.0
Decubitus ulcer,incontinence_of_stool,1.0
Decubitus ulcer,penis_redness,1.0
Decubitus ulcer,skin_lesion,78.0
Decubitus ulcer,skin_on_leg_or_foot_looks_infected,6.0
Decubitus ulcer,skin_pain,1.0
Deep vein thrombosis (DVT),abnormal_appearing_skin,15.0
Deep vein thrombosis (DVT),ankle_swelling,4.0
Deep vein thrombosis (DVT),arm_swelling,10.0
Deep vein thrombosis (DVT),disturbance_of_smell_or_taste,3.0
Deep vein thrombosis (DVT),foot_or_toe_swelling,8.0
Deep vein thrombosis (DVT),leg_cramps_or_spasms,3.0
Deep vein thrombosis (DVT),leg_lump_or_mass,3.0
Deep vein thrombosis (DVT),leg_pain,66.0
Deep vein thrombosis (DVT),leg_stiffness_or_tightness,4.0
Deep vein thrombosis (DVT),leg_swelling,57.0
Deep vein thrombosis (DVT),paresthesia,10.0
Deep vein thrombosis (DVT),peripheral_edema,15.0
Degenerative disc disease,ache_all_over,29.0
Degenerative disc disease,arm_pain,22.0
Degenerative disc disease,back_pain,78.0
Degenerative disc disease,hip_pain,31.0
Degenerative disc disease,joint_pain,7.0
Degenerative disc disease,leg_pain,61.0
Degenerative disc disease,loss_of_sensation,27.0
Degenerative disc disease,low_back_pain,77.0
Degenerative disc disease,lower_body_pain,15.0
Degenerative disc disease,neck_pain,60.0
Degenerative disc disease,paresthesia,12.0
Degenerative disc disease,shoulder_pain,29.0
Delirium,abnormal_involuntary_movements,11.0
Delirium,delusions_or_hallucinations,13.0
Delirium,depression,31.0
Delirium,depressive_or_psychotic_symptoms,48.0
Delirium,difficulty_speaking,4.0
Delirium,disturbance_of_memory,52.0
Delirium,disturbance_of_smell_or_taste,2.0
Delirium,focal_weakness,5.0
Delirium,hostile_behavior,16.0
Delirium,hysterical_behavior,2.0
Delirium,problems_with_movement,19.0
Delirium,slurring_words,2.0
Dementia,abnormal_involuntary_movements,26.0
Dementia,delusions_or_hallucinations,15.0
Dementia,depressive_or_psychotic_symptoms,32.0
Dementia,difficulty_speaking,13.0
Dementia,disturbance_of_memory,53.0
Dementia,disturbance_of_smell_or_taste,13.0
Dementia,dizziness,32.0
Dementia,focal_weakness,9.0
Dementia,hostile_behavior,21.0
Dementia,insomnia,13.0
Dementia,paresthesia,21.0
Dementia,problems_with_movement,45.0
Dengue fever,ankle_pain,32.0
Dengue fever,excessive_anger,32.0
Dengue fever,facial_pain,32.0
Dengue fever,fever,100.0
Dengue fever,joint_stiffness_or_tightness,32.0
Dengue fever,knee_lump_or_mass,32.0
Dengue fever,pain_during_pregnancy,32.0
Dengue fever,pain_in_eye,32.0
Dengue fever,pain_or_soreness_of_breast,32.0
Dengue fever,shoulder_cramps_or_spasms,32.0
Dengue fever,sore_throat,100.0
Dengue fever,wrist_pain,32.0
Dental caries,ear_pain,24.0
Dental caries,facial_pain,40.0
Dental caries,gum_pain,45.0
Dental caries,jaw_swelling,20.0
Dental caries,mouth_pain,22.0
Dental caries,neck_swelling,4.0
Dental caries,pain_in_gums,5.0
Dental caries,peripheral_edema,30.0
Dental caries,restlessness,2.0
Dental caries,skin_irritation,3.0
Dental caries,skin_swelling,6.0
Dental caries,toothache,95.0
Depression,abusing_alcohol,13.0
Depression,anxiety_and_nervousness,53.0
Depression,delusions_or_hallucinations,10.0
Depression,depression,81.0
Depression,depressive_or_psychotic_symptoms,57.0
Depression,disturbance_of_memory,7.0
Depression,drug_abuse,11.0
Depression,excessive_anger,8.0
Depression,hostile_behavior,6.0
Depression,insomnia,23.0
Depression,low_self_esteem,7.0
Depression,temper_problems,5.0
Dermatitis due to sun exposure,abnormal_appearing_skin,74.0
Dermatitis due to sun exposure,acne_or_pimples,17.0
Dermatitis due to sun exposure,irregular_appearing_scalp,24.0
Dermatitis due to sun exposure,itchy_scalp,9.0
Dermatitis due to sun exposure,lack_of_growth,9.0
Dermatitis due to sun exposure,skin_dryness_peeling_scaliness_or_roughness,27.0
Dermatitis due to sun exposure,skin_growth,17.0
Dermatitis due to sun exposure,skin_lesion,51.0
Dermatitis due to sun exposure,skin_moles,39.0
Dermatitis due to sun exposure,skin_rash,45.0
Dermatitis due to sun exposure,skin_swelling,13.0
Dermatitis due to sun exposure,symptoms_of_the_face,9.0
Developmental disability,antisocial_behavior,3.0
Developmental disability,delusions_or_hallucinations,6.0
Developmental disability,depressive_or_psychotic_symptoms,47.0
Developmental disability,difficulty_speaking,20.0
Developmental disability,excessive_anger,5.0
Developmental disability,fears_and_phobias,2.0
Developmental disability,hostile_behavior,26.0
Developmental disability,lack_of_growth,24.0
Developmental disability,obsessions_and_compulsions,7.0
Developmental disability,restlessness,5.0
Developmental disability,seizures,34.0
Developmental disability,temper_problems,9.0
Deviated nasal septum,abnormal_breathing_sounds,43.0
Deviated nasal septum,allergic_reaction,35.0
Deviated nasal septum,apnea,27.0
Deviated nasal septum,difficulty_breathing,34.0
Deviated nasal septum,facial_pain,21.0
Deviated nasal septum,frontal_headache,21.0
Deviated nasal septum,headache,36.0
Deviated nasal septum,nasal_congestion,79.0
Deviated nasal septum,nosebleed,19.0
Deviated nasal septum,painful_sinuses,29.0
Deviated nasal septum,plugged_feeling_in_ear,21.0
Deviated nasal septum,sore_throat,24.0
Diabetes,symptoms_of_the_kidneys,1.0
Diabetes,thirst,2.0
Diabetes,weight_gain,7.0
Diabetes insipidus,cough,51.0
Diabetes insipidus,difficulty_in_swallowing,51.0
Diabetes insipidus,dizziness,51.0
Diabetes insipidus,elbow_cramps_or_spasms,4.0
Diabetes insipidus,elbow_weakness,4.0
Diabetes insipidus,emotional_symptoms,4.0
Diabetes insipidus,excessive_appetite,51.0
Diabetes insipidus,frequent_urination,51.0
Diabetes insipidus,hip_stiffness_or_tightness,4.0
Diabetes insipidus,itchy_eyelid,4.0
Diabetes insipidus,nailbiting,4.0
Diabetes insipidus,wrist_weakness,4.0
Diabetic ketoacidosis,decreased_appetite,16.0
Diabetic ketoacidosis,depressive_or_psychotic_symptoms,31.0
Diabetic ketoacidosis,diarrhea,34.0
Diabetic ketoacidosis,fluid_retention,6.0
Diabetic ketoacidosis,frequent_urination,11.0
Diabetic ketoacidosis,nausea,66.0
Diabetic ketoacidosis,polyuria,11.0
Diabetic ketoacidosis,sharp_abdominal_pain,42.0
Diabetic ketoacidosis,sharp_chest_pain,37.0
Diabetic ketoacidosis,thirst,16.0
Diabetic ketoacidosis,vomiting,84.0
Diabetic ketoacidosis,weakness,46.0
Diabetic kidney disease,blood_in_stool,7.0
Diabetic kidney disease,delusions_or_hallucinations,7.0
Diabetic kidney disease,excessive_anger,7.0
Diabetic kidney disease,heartburn,7.0
Diabetic kidney disease,hurts_to_breath,7.0
Diabetic kidney disease,impotence,12.0
Diabetic kidney disease,irregular_appearing_nails,7.0
Diabetic kidney disease,lack_of_growth,7.0
Diabetic kidney disease,leg_cramps_or_spasms,7.0
Diabetic kidney disease,leg_swelling,12.0
Diabetic kidney disease,symptoms_of_the_kidneys,7.0
Diabetic kidney disease,thirst,7.0
Diabetic peripheral neuropathy,foot_or_toe_pain,37.0
Diabetic peripheral neuropathy,foot_or_toe_stiffness_or_tightness,1.0
Diabetic peripheral neuropathy,foot_or_toe_swelling,9.0
Diabetic peripheral neuropathy,hand_or_finger_cramps_or_spasms,1.0
Diabetic peripheral neuropathy,leg_pain,31.0
Diabetic peripheral neuropathy,loss_of_sensation,33.0
Diabetic peripheral neuropathy,lymphedema,4.0
Diabetic peripheral neuropathy,paresthesia,22.0
Diabetic peripheral neuropathy,poor_circulation,4.0
Diabetic peripheral neuropathy,problems_with_movement,11.0
Diabetic peripheral neuropathy,skin_lesion,48.0
Diabetic peripheral neuropathy,skin_on_leg_or_foot_looks_infected,4.0
Diabetic retinopathy,abnormal_movement_of_eyelid,7.0
Diabetic retinopathy,bleeding_from_eye,7.0
Diabetic retinopathy,blindness,7.0
Diabetic retinopathy,diminished_vision,71.0
Diabetic retinopathy,double_vision,4.0
Diabetic retinopathy,eye_redness,11.0
Diabetic retinopathy,foreign_body_sensation_in_eye,11.0
Diabetic retinopathy,itchiness_of_eye,8.0
Diabetic retinopathy,lacrimation,22.0
Diabetic retinopathy,pain_in_eye,25.0
Diabetic retinopathy,spots_or_clouds_in_vision,33.0
Diabetic retinopathy,symptoms_of_eye,21.0
Diaper rash,blood_in_stool,20.0
Diaper rash,cough,43.0
Diaper rash,diaper_rash,81.0
Diaper rash,diarrhea,56.0
Diaper rash,fever,53.0
Diaper rash,irritable_infant,17.0
Diaper rash,nasal_congestion,40.0
Diaper rash,pulling_at_ears,10.0
Diaper rash,redness_in_ear,6.0
Diaper rash,skin_rash,64.0
Diaper rash,temper_problems,6.0
Diaper rash,vomiting,33.0
Dislocation of the ankle,ankle_pain,86.0
Dislocation of the ankle,ankle_swelling,56.0
Dislocation of the ankle,elbow_cramps_or_spasms,3.0
Dislocation of the ankle,elbow_weakness,3.0
Dislocation of the ankle,emotional_symptoms,3.0
Dislocation of the ankle,eye_strain,3.0
Dislocation of the ankle,feeling_hot_and_cold,3.0
Dislocation of the ankle,foot_or_toe_pain,38.0
Dislocation of the ankle,low_back_weakness,3.0
Dislocation of the ankle,muscle_swelling,3.0
Dislocation of the ankle,underweight,3.0
Dislocation of the ankle,wrist_weakness,3.0
Dislocation of the elbow,arm_pain,77.0
Dislocation of the elbow,arm_stiffness_or_tightness,51.0
Dislocation of the elbow,arm_swelling,5.0
Dislocation of the elbow,arm_weakness,10.0
Dislocation of the elbow,depression,28.0
Dislocation of the elbow,elbow_pain,67.0
Dislocation of the elbow,elbow_swelling,10.0
Dislocation of the elbow,irritable_infant,5.0
Dislocation of the elbow,wrist_pain,25.0
Dislocation of the finger,difficulty_speaking,7.0
Dislocation of the finger,hand_or_finger_pain,79.0
Dislocation of the finger,hand_or_finger_stiffness_or_tightness,18.0
Dislocation of the finger,hand_or_finger_swelling,38.0
Dislocation of the finger,hysterical_behavior,7.0
Dislocation of the finger,joint_pain,7.0
Dislocation of the finger,wrist_pain,13.0
Dislocation of the foot,ankle_pain,37.0
Dislocation of the foot,elbow_cramps_or_spasms,3.0
Dislocation of the foot,elbow_weakness,3.0
Dislocation of the foot,eye_strain,3.0
Dislocation of the foot,feeling_hot_and_cold,3.0
Dislocation of the foot,foot_or_toe_pain,78.0
Dislocation of the foot,knee_weakness,37.0
Dislocation of the foot,low_back_weakness,3.0
Dislocation of the foot,muscle_swelling,3.0
Dislocation of the foot,underweight,3.0
Dislocation of the foot,vomiting,37.0
Dislocation of the foot,wrist_weakness,3.0
Dislocation of the hip,abusing_alcohol,14.0
Dislocation of the hip,back_pain,24.0
Dislocation of the hip,groin_pain,14.0
Dislocation of the hip,hip_pain,90.0
Dislocation of the hip,hip_stiffness_or_tightness,14.0
Dislocation of the hip,knee_pain,24.0
Dislocation of the hip,leg_pain,24.0
Dislocation of the knee,joint_pain,18.0
Dislocation of the knee,knee_pain,95.0
Dislocation of the knee,knee_stiffness_or_tightness,18.0
Dislocation of the knee,knee_swelling,30.0
Dislocation of the knee,shoulder_pain,30.0
Dislocation of the patella,fluid_retention,12.0
Dislocation of the patella,knee_pain,90.0
Dislocation of the patella,knee_stiffness_or_tightness,12.0
Dislocation of the patella,knee_swelling,22.0
Dislocation of the patella,problems_during_pregnancy,12.0
Dislocation of the shoulder,arm_pain,32.0
Dislocation of the shoulder,arm_stiffness_or_tightness,7.0
Dislocation of the shoulder,arm_swelling,5.0
Dislocation of the shoulder,leg_weakness,3.0
Dislocation of the shoulder,neck_mass,3.0
Dislocation of the shoulder,redness_in_or_around_nose,3.0
Dislocation of the shoulder,shoulder_lump_or_mass,3.0
Dislocation of the shoulder,shoulder_pain,91.0
Dislocation of the shoulder,shoulder_stiffness_or_tightness,7.0
Dislocation of the shoulder,wrist_pain,11.0
Dislocation of the vertebra,arm_pain,41.0
Dislocation of the vertebra,back_pain,70.0
Dislocation of the vertebra,bones_are_painful,41.0
Dislocation of the vertebra,elbow_weakness,3.0
Dislocation of the vertebra,excessive_growth,3.0
Dislocation of the vertebra,feeling_hot_and_cold,3.0
Dislocation of the vertebra,hand_or_finger_pain,41.0
Dislocation of the vertebra,leg_pain,41.0
Dislocation of the vertebra,loss_of_sensation,41.0
Dislocation of the vertebra,low_back_pain,59.0
Dislocation of the vertebra,neck_pain,77.0
Dislocation of the vertebra,wrist_weakness,3.0
Dislocation of the wrist,arm_pain,68.0
Dislocation of the wrist,arm_stiffness_or_tightness,40.0
Dislocation of the wrist,depression,40.0
Dislocation of the wrist,elbow_pain,58.0
Dislocation of the wrist,elbow_weakness,3.0
Dislocation of the wrist,eye_strain,3.0
Dislocation of the wrist,feeling_hot_and_cold,3.0
Dislocation of the wrist,hand_or_finger_pain,58.0
Dislocation of the wrist,hand_or_finger_swelling,58.0
Dislocation of the wrist,nailbiting,3.0
Dislocation of the wrist,wrist_pain,40.0
Dislocation of the wrist,wrist_weakness,3.0
Dissociative disorder,anxiety_and_nervousness,66.0
Dissociative disorder,back_weakness,1.0
Dissociative disorder,delusions_or_hallucinations,18.0
Dissociative disorder,depression,66.0
Dissociative disorder,depressive_or_psychotic_symptoms,83.0
Dissociative disorder,disturbance_of_memory,18.0
Dissociative disorder,elbow_cramps_or_spasms,1.0
Dissociative disorder,excessive_anger,30.0
Dissociative disorder,low_back_weakness,1.0
Dissociative disorder,low_self_esteem,30.0
Dissociative disorder,muscle_swelling,1.0
Dissociative disorder,pus_in_urine,1.0
Diverticulitis,blood_in_stool,22.0
Diverticulitis,burning_abdominal_pain,35.0
Diverticulitis,chills,14.0
Diverticulitis,constipation,17.0
Diverticulitis,diarrhea,49.0
Diverticulitis,fever,28.0
Diverticulitis,lower_abdominal_pain,60.0
Diverticulitis,nausea,48.0
Diverticulitis,sharp_abdominal_pain,87.0
Diverticulitis,side_pain,26.0
Diverticulitis,upper_abdominal_pain,18.0
Diverticulitis,vomiting,40.0
Diverticulosis,blood_in_stool,34.0
Diverticulosis,burning_abdominal_pain,31.0
Diverticulosis,constipation,40.0
Diverticulosis,diarrhea,37.0
Diverticulosis,heartburn,10.0
Diverticulosis,lower_abdominal_pain,20.0
Diverticulosis,melena,13.0
Diverticulosis,nausea,31.0
Diverticulosis,rectal_bleeding,40.0
Diverticulosis,sharp_abdominal_pain,70.0
Diverticulosis,upper_abdominal_pain,12.0
Diverticulosis,vomiting,25.0
Down syndrome,apnea,9.0
Down syndrome,cough,32.0
Down syndrome,decreased_appetite,17.0
Down syndrome,difficulty_in_swallowing,9.0
Down syndrome,difficulty_speaking,9.0
Down syndrome,fever,35.0
Down syndrome,fluid_in_ear,9.0
Down syndrome,infant_feeding_problem,9.0
Down syndrome,lack_of_growth,13.0
Down syndrome,nasal_congestion,35.0
Down syndrome,seizures,24.0
Down syndrome,temper_problems,13.0
Drug abuse,abusing_alcohol,36.0
Drug abuse,antisocial_behavior,10.0
Drug abuse,anxiety_and_nervousness,32.0
Drug abuse,delusions_or_hallucinations,16.0
Drug abuse,depression,46.0
Drug abuse,depressive_or_psychotic_symptoms,51.0
Drug abuse,drug_abuse,60.0
Drug abuse,excessive_anger,3.0
Drug abuse,fears_and_phobias,3.0
Drug abuse,hostile_behavior,5.0
Drug abuse,smoking_problems,3.0
Drug abuse,sweating,6.0
Drug abuse (barbiturates),abnormal_involuntary_movements,17.0
Drug abuse (barbiturates),abusing_alcohol,43.0
Drug abuse (barbiturates),anxiety_and_nervousness,43.0
Drug abuse (barbiturates),delusions_or_hallucinations,12.0
Drug abuse (barbiturates),depression,41.0
Drug abuse (barbiturates),depressive_or_psychotic_symptoms,41.0
Drug abuse (barbiturates),drug_abuse,50.0
Drug abuse (barbiturates),excessive_anger,6.0
Drug abuse (barbiturates),hostile_behavior,6.0
Drug abuse (barbiturates),slurring_words,6.0
Drug abuse (cocaine),abusing_alcohol,55.0
Drug abuse (cocaine),delusions_or_hallucinations,19.0
Drug abuse (cocaine),depression,40.0
Drug abuse (cocaine),depressive_or_psychotic_symptoms,48.0
Drug abuse (cocaine),drug_abuse,76.0
Drug abuse (cocaine),excessive_anger,5.0
Drug abuse (cocaine),fears_and_phobias,2.0
Drug abuse (cocaine),hostile_behavior,11.0
Drug abuse (cocaine),hysterical_behavior,2.0
Drug abuse (cocaine),nightmares,2.0
Drug abuse (cocaine),sharp_chest_pain,32.0
Drug abuse (methamphetamine),abusing_alcohol,18.0
Drug abuse (methamphetamine),anxiety_and_nervousness,39.0
Drug abuse (methamphetamine),delusions_or_hallucinations,22.0
Drug abuse (methamphetamine),depression,39.0
Drug abuse (methamphetamine),depressive_or_psychotic_symptoms,54.0
Drug abuse (methamphetamine),drug_abuse,66.0
Drug abuse (methamphetamine),fears_and_phobias,22.0
Drug abuse (methamphetamine),feeling_ill,10.0
Drug abuse (methamphetamine),hostile_behavior,22.0
Drug abuse (methamphetamine),pain_during_pregnancy,10.0
Drug abuse (methamphetamine),palpitations,14.0
Drug abuse (methamphetamine),shortness_of_breath,28.0
Drug abuse (opioids),abusing_alcohol,30.0
Drug abuse (opioids),antisocial_behavior,3.0
Drug abuse (opioids),anxiety_and_nervousness,35.0
Drug abuse (opioids),delusions_or_hallucinations,8.0
Drug abuse (opioids),depression,40.0
Drug abuse (opioids),depressive_or_psychotic_symptoms,46.0
Drug abuse (opioids),drug_abuse,67.0
Drug abuse (opioids),excessive_anger,6.0
Drug abuse (opioids),insomnia,13.0
Drug abuse (opioids),low_self_esteem,3.0
Drug abuse (opioids),restlessness,3.0
Drug abuse (opioids),temper_problems,4.0
Drug poisoning due to medication,abusing_alcohol,15.0
Drug poisoning due to medication,allergic_reaction,10.0
Drug poisoning due to medication,delusions_or_hallucinations,7.0
Drug poisoning due to medication,depression,48.0
Drug poisoning due to medication,depressive_or_psychotic_symptoms,53.0
Drug poisoning due to medication,drug_abuse,18.0
Drug poisoning due to medication,fainting,15.0
Drug poisoning due to medication,fluid_retention,7.0
Drug poisoning due to medication,lip_swelling,7.0
Drug poisoning due to medication,sleepiness,12.0
Drug poisoning due to medication,slurring_words,10.0
Drug poisoning due to medication,stiffness_all_over,7.0
Drug reaction,abnormal_appearing_skin,22.0
Drug reaction,allergic_reaction,52.0
Drug reaction,dizziness,35.0
Drug reaction,headache,27.0
Drug reaction,itching_of_skin,40.0
Drug reaction,lip_swelling,33.0
Drug reaction,nausea,33.0
Drug reaction,peripheral_edema,34.0
Drug reaction,shortness_of_breath,28.0
Drug reaction,skin_rash,68.0
Drug reaction,throat_swelling,18.0
Drug reaction,vomiting,25.0
Drug withdrawal,abnormal_involuntary_movements,33.0
Drug withdrawal,ache_all_over,36.0
Drug withdrawal,antisocial_behavior,45.0
Drug withdrawal,anxiety_and_nervousness,45.0
Drug withdrawal,chills,40.0
Drug withdrawal,depression,36.0
Drug withdrawal,diarrhea,38.0
Drug withdrawal,dizziness,33.0
Drug withdrawal,nausea,53.0
Drug withdrawal,seizures,36.0
Drug withdrawal,sharp_abdominal_pain,38.0
Drug withdrawal,vomiting,59.0
Dry eye of unknown cause,abnormal_movement_of_eyelid,9.0
Dry eye of unknown cause,diminished_vision,69.0
Dry eye of unknown cause,double_vision,7.0
Dry eye of unknown cause,eye_burns_or_stings,33.0
Dry eye of unknown cause,eye_redness,44.0
Dry eye of unknown cause,foreign_body_sensation_in_eye,33.0
Dry eye of unknown cause,itchiness_of_eye,45.0
Dry eye of unknown cause,lacrimation,46.0
Dry eye of unknown cause,pain_in_eye,50.0
Dry eye of unknown cause,spots_or_clouds_in_vision,29.0
Dry eye of unknown cause,symptoms_of_eye,72.0
Dry eye of unknown cause,white_discharge_from_eye,10.0
Dumping syndrome,diarrhea,68.0
Dumping syndrome,ear_pain,68.0
Dumping syndrome,excessive_growth,8.0
Dumping syndrome,fatigue,68.0
Dumping syndrome,headache,68.0
Dumping syndrome,itchy_eyelid,8.0
Dumping syndrome,knee_lump_or_mass,8.0
Dumping syndrome,nausea,84.0
Dumping syndrome,upper_abdominal_pain,68.0
Dumping syndrome,vomiting,68.0
Dumping syndrome,vulvar_sore,8.0
Dumping syndrome,weight_gain,68.0
Dyshidrosis,abnormal_appearing_skin,38.0
Dyshidrosis,acne_or_pimples,29.0
Dyshidrosis,ankle_pain,17.0
Dyshidrosis,back_pain,29.0
Dyshidrosis,dry_or_flaky_scalp,17.0
Dyshidrosis,foot_or_toe_lump_or_mass,17.0
Dyshidrosis,frequent_urination,17.0
Dyshidrosis,itching_of_skin,38.0
Dyshidrosis,skin_dryness_peeling_scaliness_or_roughness,38.0
Dyshidrosis,skin_lesion,45.0
Dyshidrosis,skin_on_leg_or_foot_looks_infected,17.0
Dyshidrosis,skin_rash,83.0
Dysthymic disorder,antisocial_behavior,2.0
Dysthymic disorder,anxiety_and_nervousness,72.0
